Course Title,Description
AES 122.  Steel Drum Ensemble.  0.5-1 Credits.,"The WCU Steel Drum Ensemble (Ram Pans) is a traditional steel band featuring music from the Caribbean, and more specifically the island of Trinidad. The 25-piece ensemble features a range of steel drums from bass pans up to lead pans performing a wide range of entertaining music. All are welcome to perform in this group, but members should know how to read music notation. No audition is required. Typically offered in Fall & Spring."
AES 131.  String Ensemble.  0.5-1 Credits.,"The course is designed to prepare the student to perform a variety of repertoire, styles, and mediums with competence and musicianship necessary in a string chamber music setting. Typically offered in Fall & Spring. Repeatable for Credit."
AES 141.  Woodwind Ensemble.  0.5-1 Credits.,"The course is designed to prepare the student to perform a variety of repertoire, styles, and mediums with competence and musicianship necessary in a woodwind chamber music setting. Typically offered in Fall & Spring. Repeatable for Credit."
AES 199.  Transfer Credits.  0.5-3 Credits.,Transfer Credits. Repeatable for Credit.
AIM 311.  Marching Band Techniques.  1 Credit.,A survey of the function of the total marching band and of each component within it. Typically offered in Fall.
AIM 429.  Special Subjects Seminar.  1-3 Credits.,Contact department for more information about this course. Repeatable for Credit.
AJZ 199.  Transfer Credits.  1-15 Credits.,Transfer Credits. Repeatable for Credit.
AJZ 331.  Electronic Instruments.  2 Credits.,"A study of the MIDI implementation of synthesizers, samplers, sequencers, signal processors, and rhythm processors as related to real-time performance."
AJZ 361.  Jazz Musicianship and Improvisation I.  3 Credits.,A basic course in jazz improvisation that emphasizes the learning and discovery of improvisational techniques through playing and listening. Typically offered in Spring. Repeatable for Credit.
AJZ 362.  Jazz Musicianship and Improvisation II.  3 Credits.,A continuation of AJZ 361 . Typically offered in Spring. Repeatable for Credit.
AJZ 365.  Jazz Ensemble Techniques.  0.5 Credits.,"Techniques and methods for organizing, rehearsing, programming, and operating jazz ensembles. Typically offered in Fall & Spring."
ALC 312.  Brass Literature I.  1 Credit.,Contact department for more information about this course.
ALC 313.  Brass Literature II.  1 Credit.,Contact department for more information about this course.
ALC 314.  Brass Literature III.  1 Credit.,Contact department for more information about this course.
ALC 322.  Guitar Literature.  1 Credit.,Contact department for more information about this course.
ALC 323.  Guitar Literature II.  1 Credit.,Contact department for more information about this course.
ALC 324.  Guitar Literature III.  1 Credit.,Contact department for more information about this course.
ALC 332.  String Literature I.  1 Credit.,Contact department for more information about this course.
ALC 333.  String Literature II.  1 Credit.,Contact department for more information about this course.
ALC 334.  String Literature III.  1 Credit.,Contact department for more information about this course.
ALC 342.  Woodwind Literature I.  1 Credit.,Contact department for more information about this course.
ALC 343.  Woodwind Literature II.  1 Credit.,Contact department for more information about this course.
ALC 344.  Woodwind Literature III.  1 Credit.,Contact department for more information about this course.
ALC 352.  Percussion Literature I.  1 Credit.,Contact department for more information about this course.
ALC 353.  Percussion Literature II.  1 Credit.,Contact department for more information about this course.
ALC 354.  Percussion Literature III.  1 Credit.,Contact department for more information about this course.
AMA 352.  Performance in the Arts.  3 Credits.,"Performance in the Arts will survey, through a variety of historical and personal perspectives, the inter-related aspects of the four arts areas within the CVPA; music, theatre, art, and dance.  This course offers a structured examination and creative approach to how musical performance is integrated into and enhanced by its connection to drama, art, and dance.  Musical performance will form the basis for comparative study, befitting a course for students who are minoring in music performance.  Students enrolled in AMA 352 must have successfully auditioned for one of WCU's many performing ensembles. Typically offered in Spring."
AMC 312.  Master Class (Brass).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 313.  Master Class (Brass).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 314.  Master Class (Brass).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 321.  Master Class (Percussion).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 322.  Master Class (Percussion).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 323.  Master Class (Percussion).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 324.  Master Class (Percussion).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 331.  Master Class (Strings).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 333.  Master Class (Strings).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 334.  Master Class (Strings).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 343.  Master Class (Woodwinds).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AMC 344.  Master Class (Woodwinds).  1 Credit.,Contact department for more information about this course. Repeatable for Credit.
AME 101.  Ensembles for Music Minor.  1 Credit.,"This course fulfills the ensemble performance requirement for the Music Performance Minor and should be taken every semester a student participates in a large or small ensemble with the exception of Marching Band and Marching Band Front.  Students are introduced to wind, orchestral, and vocal literature as well as rehearsal techniques per their specified participation in one of the large or small ensembles offered every semester.  Ensemble participation requires an audition.  Audition dates and materials will be provided to interested students. Typically offered in Fall & Spring. Repeatable for Credit."
AMF 251.  Foundations of Music Performance I.  3 Credits.,This is a performance-based class for non-music majors exploring the fundamental elements of music required to be a better musician and performer.  This is the first semester of a two-semester sequence required for the Music Performance Minor. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Fall & Spring.
AMF 252.  Foundations of Music Performance II.  3 Credits.,Foundations of Music Performance II is a performance-based class for non-music majors exploring the advanced elements of music performance.  This is the second semester of a two-semester sequence required for the Music Performance Minor.  Students enrolled in AMF 252 must have successfully auditioned for one of WCU's many performing ensembles. Pre / Co requisites: AMF 252 prerequisite requires AMF 251 and successful ensemble audition. Typically offered in Spring.
AML 351.  Understanding Live Music Performance.  3 Credits.,"This course explores live music performance from the perspective of the informed audience member.  Attending all Monday night faculty recitals, class participants will write extensively about their experience as audience members, their interaction with performers, and about composers, compositions, and musical styles and genres. Typically offered in Fall."
AMS 199.  Transfer Credit Electives.  1-15 Credits.,Transfer Credit Electives. Repeatable for Credit.
AMS 200.  American Civilization.  3 Credits.,"An interdisciplinary study of the forces, forms, and values that have contributed to the making of American civilization. Several academic disciplines are drawn upon in exploring the 'Americaness' of American institutions, thought, behavior, and material culture. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Fall & Spring."
AMS 367.  American Material Culture.  3 Credits.,"An interdisciplinary study of American civilization through the examination of its built environment and crafted and manufactured artifacts from the Colonial period to the mid-20th century. Typically offered in Fall & Spring. Cross listed courses AMS 367 , HIS 367 ."
AMS 399.  Topics in American Studies.  3 Credits.,Topics may vary each semester. Emphasis on student research and discussions. Repeatable for Credit.
AMS 400.  Senior Thesis or Project.  3 Credits.,A concluding 'statement'  incorporating the interdisciplinary generalist approach. Typically offered in Fall & Spring.
AMS 401.  Independent Study.  1-3 Credits.,"An opportunity to pursue alternative study projects outside the classroom; field work in community resources, etc."
AMS 415.  American Studies Internship.  1-15 Credits.,"Cooperative, service/learning experience at a community agency, business, or institution. Repeatable for Credit."
ANT 101.  Introduction to Biological Anthropology.  3 Credits.,"Fundamentals of human biological variation and evolution, including evolutionary theory and processes, human genetics, the nature of human biological diversity, adaptation, primate biology and behavior, the human fossil record, the evolution of disease, and population processes. Gen Ed Attribute: Behavioral and Social Science Distributive. Typically offered in Fall & Spring."
ANT 102.  Introduction to Cultural Anthropology.  3 Credits.,"This course introduces students to the fundamental concepts and methods in cultural anthropology--the study of humanity in all of its diversity. Focusing on how culture makes us think and act, organize ourselves, and understand the surrounding world the way we do, the course explores social and cultural diversity through a range of topics including race and ethnicity, sex and gender, kinship and families, religion, economic and political organization, and globalization. Gen Ed Attribute: Behavioral and Social Science Distributive. Typically offered in Fall, Spring & Summer."
ANT 103.  Introduction to Archaeology.  3 Credits.,This course provides an overview of methods and strategies involved in archaeological research and the interpretation of culture through the analysis of archaeological remains. Gen Ed Attribute: Behavioral and Social Science Distributive. Typically offered in Fall & Spring.
ANT 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
ANT 213.  Archaeological Field Techniques.  3 Credits.,Implementation of archaeological principles and theory in laboratory and field studies. Pre / Co requisites: ANT 213 requires a prerequisite of ANT 103 . Typically offered in Summer and Winter. Repeatable for Credit.
ANT 220.  Cultures of Ethnic Groups in America.  3 Credits.,Survey of the cultural history and traditions of ethnic groups in America. Typically offered in Spring.
ANT 224.  Native People of South America.  3 Credits.,"This course will introduce the student to the study of native peoples of South America after the European contact. Geographically, the course will cover the cultural characteristics, similarities, and differences among South American natives including the Amazonia. Gen Ed Attribute: Foreign Language Culture Cluster, Spanish Culture Cluster. Typically offered in Fall, Spring & Summer."
ANT 230.  Introduction to Primatology.  3 Credits.,"The purpose of this course is to familiarize students with the taxonomy, distribution, morphology, and behavior of human beings' closest living relatives, the nonhuman primates. This course is designed to provide students with the background to take more advanced courses within the interdisciplinary subject of primatology as well as provide them with a deeper understanding of nonhuman primates, evolution, and where humans fit in the world. Gen Ed Attribute: Interdisciplinary Requirement. Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter. Cross listed courses ANT 230 , PSY 230 ."
ANT 260.  Artifacts and Culture.  3 Credits.,Critical exploration of the role of material items in the analysis and interpretation of human culture. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Summer and Winter.
ANT 277.  Sustainable Food Systems.  3 Credits.,"This course, team taught by an anthropologist and a registered dietitian, examines the interrelationship of nutrition ecology, anthropology and the political economic underpinnings of sustainable food systems. Gen Ed Attribute: Interdisciplinary Requirement. Typically offered in Spring. Cross listed courses ANT 277 , NTD 277 ."
ANT 310.  Human Paleontology.  3 Credits.,"Human origins and evolution, including evolutionary thought, the evolution of non-human primates, and the hominin fossil record. Pre / Co requisites: ANT 310 requires prerequisite of ANT 101 or permission of instructor. Typically offered in Fall."
ANT 312.  Medical Anthropology.  3 Credits.,"This course provides an overview of the field of medical anthropology, including theory, general methodology and concepts. The approach of the course is biocultural, focusing on the evolutionary and ecological bases of disease and health as well as how culture affects the definition and treatment of illness -- highlighting the interplay between biology and culture in human health and disease. Pre / Co requisites: ANT 312 requires a prerequisite of ANT 102 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
ANT 314.  Biocultural Perspectives on Food and Nutrition.  3 Credits.,"This course acquaints students with the field of nutritional anthropology, including its various methods and areas of focus. The overall perspective in this course is a biocultural one. Students gain an appreciation for the evolutionary and ecological bases of human diets, as well as for how culture and society affect food choice, availability, and preparation. We examine the relationship between diet and disease and the role of belief and of political and economic forces in shaping human foodways, and we explore the ways in which nutritional anthropological knowledge can be applied to address nutrition problems in the contemporary world. Pre / Co requisites: ANT 314 requires a prerequisite of ANT 101 or ANT 102 or permission of instructor. Distance education offering may be available. Typically offered in Fall & Spring."
ANT 321.  American Indian Today.  3 Credits.,Native Americans in contemporary Anglo-America. Gen Ed Attribute: Diversity Requirement. Typically offered in Spring.
ANT 322.  Ethnology of Central America.  3 Credits.,"Survey of the modern cultures of Central America: relationships to ancient peoples; the process of modernization in this area. Pre / Co requisites: ANT 322 requires prerequisite of ANT 102 . Gen Ed Attribute: Foreign Language Culture Cluster, Spanish Culture Cluster. Typically offered in Fall & Spring."
ANT 324.  Native People of the Andes.  3 Credits.,"This course provides a comprehensive survey of the historical formation and development of the Andean society before and after the Spanish conquest. Gen Ed Attribute: Foreign Language Culture Cluster, Spanish Culture Cluster. Typically offered in Fall, Spring & Summer."
ANT 327.  Cultures & Peoples of India.  3 Credits.,"Provides a broad understanding of India using a framework that examines the intersection of culture and society, economy, politics, and art and literature. Pre / Co requisites: ANT 327 requires a prerequisite of ANT 102 . Typically offered in Spring."
ANT 329.  Problems in Ethnology.  3 Credits.,Survey of the ethnographic literature pertaining to specific geographic regions. Area of focus to be announced in advance. Pre / Co requisites: ANT 329 requires prerequisite of ANT 102 . Typically offered in Fall & Spring.
ANT 330.  Professionalization in Anthropology.  1 Credit.,"This course supports the professional development of anthropology students by providing instruction and practice in such topics as preparing resumes or curriculum vitae, searching and applying for jobs, writing and sending professional letters, and exploring and preparing for graduate education. Course meetings will also be used for presentations by professional anthropologists and others able to provide students with a broad perspective on postgraduate career and educational options. Pre / Co requisites: ANT 330 requires a prerequisite of a minimum of 6 credits in anthropology. Typically offered in Fall & Spring."
ANT 340.  Folklore in Society.  3 Credits.,"Survey of basic American folklore genres. Emphasis on folklore as process, tradition, and as an element of culture. Typically offered in Fall."
"ANT 344.  Magic, Religion & Witchcraft.  3 Credits.",An analysis of supernaturalistic ideology and ritual in both tribal and civil society. Pre / Co requisites: ANT 344 requires prerequisite of ANT 102 . Typically offered in Fall.
ANT 347.  The Cultures of Cities.  3 Credits.,"This seminar introduces students to the cultural dynamics of city life in the era of globalization.  Topics of study include globalization, the politics of urban space, informal economies, and immigration. Gen Ed Attribute: Diversity Requirement. Typically offered in Spring."
ANT 348.  Dimensions of Ethnographic Film/Video.  3 Credits.,"This course will introduce students to the study of ethnographic film/video. Topics to be considered include visual anthropology, ethnographic representation, and film theory. Typically offered in Fall."
ANT 349.  Ethnographic Research Methods.  3 Credits.,"This hands-on course teaches students how to conduct ethnographic research in an increasingly globalizing and digitally connected world. Methods instructed include participant observation, ethnographic interviews, kinship and social network mapping, oral history elicitation, multi-sited/global and virtual ethnographies, and audio-visual documentation; ethics in research practice will also be covered. Pre / Co requisites: ANT 349 requires a prerequisite of ANT 102 . Typically offered in Spring. Repeatable for Credit."
ANT 352.  Cultural Heritage: Creating and Preserving the Past.  3 Credits.,"What is cultural heritage, and how do societies remember, preserve, and transmit it? This seminar-style class explores the history and politics of cultural heritage and conservation movements, examining the ways in which 'patrimony' (heritage) is used to create or contest cultural identities across the world. Through case studies, we will discuss why tangible and intangible heritage stir such emotion among diverse peoples, mobilizing political organizations, NGOs, tourists, museums, tomb raiders, and even armies to celebrate, protect, loot, commodify, efface, contest, and even go to war over artifacts and practices rooted in the past. Pre / Co requisites: ANT 352 requires prerequisite: ANT 102 or ANT 103 , or permission of instructor. Typically offered in Fall."
ANT 355.  Anthropology of Tourism.  3 Credits.,"This seminar examines tourism as a complex social phenomenon in which a variety of encounters and exchanges occur, and which impacts the culture, politics and economics of mobile and immobile people around the world. It provides a comprehensive introduction to the field, touching on its history, scope and methods of research associated with what is considered one of the largest and fastest-growing industries in the world. The course also uses tourism as a lens for understanding fundamental anthropological and ethical concepts. Typically offered in Spring."
ANT 360.  Historical Archaeology.  3 Credits.,"This course emphasizes the archaeological record of the past 400 years in North America, especially the Middle Atlantic region. Students learn how archaeologists utilize the archaeological record to study broad 'ism's including imperialism, colonialism, mercantilism, nationalism, urbanism, and racism. The course offers case studies for examining how the archaeological record illuminates the lives of diverse, marginalized, and ""invisible"" people, as well as practical research skills development and an understanding of archaeology in the public and private sectors, including cultural resources management, historic preservation, and heritage planning. Pre / Co requisites: ANT 360 requires a prerequisite or corequisite of ANT 103 . Gen Ed Attribute: Diversity Requirement. Typically offered in Fall."
ANT 362.  Archaeology of Central America.  3 Credits.,"The archaeological record of Central America, covering the significant features of each culture area from modern Mexico to Panama. Gen Ed Attribute: Foreign Language Culture Cluster, Spanish Culture Cluster. Typically offered in Spring."
ANT 364.  Archaeology of Native North America.  3 Credits.,"This course takes a topical approach to the early human cultures of North America (~13, 500-1, 000 years ago), covering subjects from Ice Age peoples to early horticultural societies, and from the significance of grand cultural landscapes to the development of centralized political institutions. It addresses concerns of descendant communities regarding cultural heritage and applies a decolonizing perspective to archaeological practice and the archaeological record of early North America. Pre / Co requisites: ANT 364 requires a prerequisite of ANT 103 . Gen Ed Attribute: Writing Emphasis. Typically offered in Spring. Cross listed courses ANT 364 , ANT 564 ."
ANT 366.  Archaeological Lab Methods.  3 Credits.,"An overview of analytical methods used to process, describe and interpret archaeological materials. Emphasis on practical hands-on laboratory research through the implementation of qualitative observation and quantitative methodologies. Pre / Co requisites: ANT 366 requires prerequisite of ANT 103 . Typically offered in Fall."
ANT 367.  Archaeology and the Environment.  3 Credits.,"In this course students will learn about how archaeologists study the relationships between human culture and the natural world, and how archaeology can be applied to some of today's environmental concerns. Grounded in archaeological research, the course covers topics such as past human impacts on the environment, environmental impacts on the archaeological record, spatial modeling and remote sensing in archaeology, and human ecology, including the role of cultural memory in current conservation practices. Pre / Co requisites: ANT 367 requires a prerequisite of ANT 103 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
ANT 368.  Archaeological Field School.  3-6 Credits.,"Application of archaeological recovery techniques through field investigation.  Students participate in the gathering, processing and study of archaeological site data. Pre / Co requisites: ANT 368 requires prerequisite ANT 103 . Typically offered in Summer."
ANT 375.  Ethnographic Field School.  3-6 Credits.,"This is an anthropological field school in which students gain in-depth, hands-on training and experience in conducting qualitative ethnographic research at a fieldsite, and is intended to provide students with instruction in multiple ethnographic methods and procedures as they design and carry out their own research project. In the course of their research, students will familiarize themselves with relevant social theories and will be given an intensive and interactive look at the culture and history of the people at their research site. Pre / Co requisites: ANT 375 requires a prerequisite of ANT 102 . Typically offered in Summer. Repeatable for Credit."
ANT 380.  Language & Culture.  3 Credits.,"This course provides a comprehensive overview of anthropological approaches to the study of language, culture, and society. Topics of study include anthropological theories of language, linguistic relativity, language diversity and inequality, language shift, and the creative use of language in performance. Students also will gain experience conducting original research on the social and interactional role of language in our everyday social life. Pre / Co requisites: ANT 380 requires a prerequisite of ANT 102 or ENG 230 . Typically offered in Fall. Cross listed courses ANT 380 , LIN 380 ."
ANT 405.  Topical Seminar in Anthropology.  3 Credits.,Selected topics in the subdisciplines of anthropology. Topics announced in advance. Pre / Co requisites: ANT 405 requirement: juniors and seniors only. Typically offered in Fall & Spring. Repeatable for Credit.
ANT 410.  Independent Studies in Anthropology.  1-3 Credits.,"Special research projects, reports, and readings in anthropology. Pre / Co requisites: ANT 410 requirement: Permission of department chairperson; juniors and seniors only. Consent: Permission of the Department required to add. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
ANT 420.  Anthropology Internship.  3 Credits.,"This internship is intended to augment student learning through practical professional experiences. Student interns will gain exposure to contemporary anthropological practice outside the classroom and will be provided an opportunity to acquire new skills, develop professional contacts, and gain first-hand knowledge of potential workplaces. The internship program is designed to enhance student preparedness for a future in their area of interest within the discipline while exploring potential workforce matches. Internships can be within any of the subfields of anthropology and will vary according to student interests and the needs and opportunities of the sponsoring organization. Pre / Co requisites: ANT 420 requires prerequisite of ANT 102 , at least 80 semester hours of college credit, an additional 12 hours in courses in the anthropology program, and a minimum 2.3 GPA in anthropology and overall. Consent: Permission of the Department required to add. Typically offered in Fall, Spring & Summer."
ANT 459.  History of Ethnological Theory.  3 Credits.,Development of ethnological theory with emphasis on the nature of explanation in ethnology. Pre / Co requisites: ANT 459 requires six hours in ethnology and junior or senior standing. Typically offered in Fall.
ANT 495.  Senior Seminar in Anthropology.  3 Credits.,Discussion and supervised research designed to integrate conceptual and methodological skills. The research paper for the seminar must be acceptable as a required departmental senior research paper. Pre / Co requisites: ANT 495 requires senior anthropology majors only. Typically offered in Spring.
APC 191.  Non-Pitched Percussion Class.  0.5 Credits.,Contact department for more information about this course. Typically offered in Fall & Spring.
APC 192.  Pitched Percussion Class.  0.5 Credits.,Contact department for more information about this course. Typically offered in Fall & Spring.
APC 193.  Drum Set Class.  0.5 Credits.,Contact department for more information about this course. Typically offered in Spring.
APC 194.  World Percussion.  0.5 Credits.,"Students will learn about the cultures, instruments, and performance practices from West Africa, Cuba, the Middle East, Brazil (pandeiros, surdos), and the Caribbean. Students will learn how to incorporate these instruments and drumming styles into their music therapy practice and develop rhythmic dictation and improvisation skills. Typically offered in Fall & Spring."
ARB 101.  Modern Arabic I Elementary.  3 Credits.,Introduction to basic written and spoken Arabic language and culture; fundamentals of grammar and oral practice. Distance education offering may be available. Typically offered in Fall & Spring.
ARB 102.  Modern Arabic II.  3 Credits.,This course is the continuation of spoken and written Arabic for students who have completed the equivalent of ARB 101 . Pre / Co requisites: ARB 102 requires a prerequisite of ARB 101 . Typically offered in Spring.
ARB 103.  Intensive Elementary Arabic.  6 Credits.,"This course is an intensive introduction to modern standard Arabic, with emphasis on speaking, writing, and reading. Equivalent to Arabic 101 and 102 combined."
ARB 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
ARB 201.  Modern Arabic III.  3 Credits.,This course is a continuation of ARB 102 to further develop the four language skills and comprehend key aspects of the Arabic speaking world. Pre / Co requisites: ARB 201 requires a prerequisite of ARB 102 . Typically offered in Fall.
ARB 202.  Modern Arabic IV.  3 Credits.,This course is a continuation of practice in comprehending spoken and written Arabic for practical application. Pre / Co requisites: ARB 202 requires a prerequisite of ARB 201 . Typically offered in Spring.
ARB 205.  Intensive Intermediate Arabic.  6 Credits.,"This course is to enhance students' ability to read, discuss, and write on various contemporary topics.  This course is equivalent to the competency level achieved in ARB 201 and 202 . Pre / Co requisites: ARB 205 requires a prerequisite of ARB 102 . Typically offered in Summer."
